id;client_first_name;client_last_name;start_date;end_date;rooms;ref;client_email;client_phone;adult_number;child_number;isconfirmed
1;randomize thrifty;tribe ski above;2024-10-15T09:31:00;2024-10-15T13:15:46;misread jagged;um;hungry;determined ack;30163;24662;true
2;boastfully apropos yowza;pertain inspect loftily;2024-10-14T23:30:26;2024-10-15T02:12:50;whenever vibraphone;down notarize onto;never;ew lest;4361;32304;true
3;fly;apostrophize oof;2024-10-15T02:28:00;2024-10-15T15:29:06;before;always as;ick;inasmuch;15252;24335;false
4;pasta;quietly;2024-10-14T19:30:34;2024-10-14T19:15:51;gee contradict whereas;boo enchanted;technologist;provided however;5216;17984;false
5;rubric challenge beside;toward arbitrate fluctuate;2024-10-15T00:58:52;2024-10-15T02:26:07;wholly fly;degrease;joyfully freely;blowgun outfox;27040;27064;true
6;earth;swat limited;2024-10-14T17:52:20;2024-10-15T12:33:26;scientific;considering reassuringly;tousle;woot;4459;1580;true
7;provided stage coaxingly;huzzah;2024-10-14T18:34:38;2024-10-15T09:23:04;psst and;jam-packed nudge;deploy flight;negligible;24662;26527;true
8;vice carelessly;limply;2024-10-15T01:57:58;2024-10-14T22:47:45;utterly gosh;unto furthermore striking;given damp whenever;coop ha smog;18880;12579;false
9;hungry below;shady;2024-10-14T16:44:34;2024-10-14T22:34:51;yowza before emulsify;whenever till yahoo;regarding scale sharply;strategy decode as;2472;13265;true
10;yum kissingly tedious;er willfully;2024-10-15T13:05:31;2024-10-15T08:46:35;yippee;consequently when finally;shipper;versus;3813;17335;false
