id;first_name;last_name;email;payement_type;card_num;expiration;cryptogram
1;Rosario;O'Hara;Lacy.Hartmann@gmail.com;CB;clueless boo;2024-10-15T03:07:01;13260
2;Claudia;Kuvalis;Candace_Nitzsche80@gmail.com;Paypal;though well-worn;2024-10-15T09:16:04;1822
3;Brandy;Rice;Will80@gmail.com;Paypal;rosy testing;2024-10-14T17:52:53;23434
4;Ryder;Runolfsdottir;Sylvan_Bradtke@gmail.com;STRIPE;yum;2024-10-14T21:34:32;5626
5;Bert;Schneider;Cullen83@hotmail.com;Paypal;lively aboard;2024-10-15T15:12:17;12850
6;Verla;Carroll;Isabel56@yahoo.com;CMI;translation whether;2024-10-15T15:17:18;19368
7;Armando;Fisher;Jefferey_Nienow@gmail.com;CMI;onto apropos circa;2024-10-15T03:17:47;16704
8;Ophelia;Lubowitz;Elsie_McKenzie@hotmail.com;Paypal;fuel suspiciously;2024-10-15T06:30:58;28172
9;Alison;Herzog;Dolores.Mitchell8@yahoo.com;Paypal;annually liberalize;2024-10-15T08:40:26;14335
10;Priscilla;O'Connell;Levi26@hotmail.com;CMI;ceramic yuck;2024-10-15T14:10:14;13291
